#gp_printername,backend,vid,pid,type,gp_options
#
# The goal here is to cover unique models within gutenprint itself.
# All print sizes need to be covered.
#
canon-cp10,selphycp10,0x04a9,0x304a,,PageSize=w155h244
#
canon-cp100,selphycp100,0x04a9,0x3063,0x11,PageSize=Postcard
canon-cp100,selphycp100,0x04a9,0x3063,0x22,PageSize=w253h337
canon-cp100,selphycp100,0x04a9,0x3063,0x33,PageSize=w155h244
#
canon-cp220,selphycp220,0x04a9,0x30bd,0x11,PageSize=Postcard
canon-cp220,selphycp220,0x04a9,0x30bd,0x22,PageSize=w253h337
canon-cp220,selphycp220,0x04a9,0x30bd,0x33,PageSize=w155h244
canon-cp220,selphycp220,0x04a9,0x30bd,0x44,PageSize=w283h566
#
canon-cp790,selphycp790,0x04a9,0x31e7,0x00,PageSize=Postcard
canon-cp790,selphycp790,0x04a9,0x31e7,0x11,PageSize=w253h337
canon-cp790,selphycp790,0x04a9,0x31e7,0x22,PageSize=w155h244
#
canon-cp900,selphycp900,0x04a9,0x3255,0x11,PageSize=Postcard
canon-cp900,selphycp900,0x04a9,0x3255,0x22,PageSize=w253h337
canon-cp900,selphycp900,0x04a9,0x3255,0x33,PageSize=w155h244
#
canon-cp820,selphycp820,0x04a9,0x327b,0x1,PageSize=Postcard
canon-cp820,selphycp820,0x04a9,0x327b,0x2,PageSize=w253h337
canon-cp820,selphycp820,0x04a9,0x327b,0x3,PageSize=w155h244
#
canon-es1,selphyes1,0x04a9,0x3141,0x1,PageSize=Postcard
canon-es1,selphyes1,0x04a9,0x3141,0x2,PageSize=w253h337
canon-es1,selphyes1,0x04a9,0x3141,0x3,PageSize=w155h244
#
canon-es2,selphyes1,0x04a9,0x3185,0x1,PageSize=Postcard
canon-es2,selphyes1,0x04a9,0x3185,0x2,PageSize=w253h337
canon-es2,selphyes1,0x04a9,0x3185,0x3,PageSize=w155h244
#
canon-es3,selphyes3,0x04a9,0x31af,0x0,PageSize=Postcard
canon-es3,selphyes3,0x04a9,0x31af,0x0,PageSize=w253h337
canon-es3,selphyes3,0x04a9,0x31af,0x0,PageSize=w155h244
#
canon-es40,selphyes40,0x04a9,0x31ee,0x11,PageSize=Postcard
canon-es40,selphyes40,0x04a9,0x31ee,0x22,PageSize=w253h337
canon-es40,selphyes40,0x04a9,0x31ee,0x33,PageSize=w155h244
#
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=w612h864;MediaType=Glossy
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=Legal;MediaType=Glossy
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=A4;MediaType=Glossy
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=w612h864;MediaType=Matte
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=Legal;MediaType=Matte
kodak-1400,kodak1400,0x040a,0a4022,,PageSize=A4;MediaType=Matte
#
kodak-805,kodak805,0x040a,0a4034,,PageSize=w612h864
kodak-805,kodak805,0x040a,0a4034,,PageSize=Legal
#
kodak-6800,kodak6800,0x040a,0x4021,0xb,PageSize=w288h432
kodak-6800,kodak6800,0x040a,0x4021,0xb,PageSize=w432h576
kodak-6850,kodak6850,0x040a,0x402b,0xb,PageSize=w288h432
kodak-6850,kodak6850,0x040a,0x402b,0xb,PageSize=w432h576
kodak-6850,kodak6850,0x040a,0x402b,0x3,PageSize=w360h504
#
kodak-605,kodak605,0x040a,0x402e,0xb,PageSize=w288h432
kodak-605,kodak605,0x040a,0x402e,0xb,PageSize=w432h576
kodak-605,kodak605,0x040a,0x402e,0x3,PageSize=w360h504
#
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=w288h576
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=w360h576
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=w432h576
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=w576h576
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=w576h576-div2
shinko-chcs1245,shinkos1245,0x10ce,0x0007,0,PageSize=c8x10
